Benchmark,#TotalOC,,LS-Sampling-alt1 (k=100),,,LS-Sampling-alt1 (k=1000),,,LS-Sampling-alt2 (k=100),,,LS-Sampling-alt2 (k=1000),,,LS-Sampling-alt3 (k=100),,,LS-Sampling-alt3 (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
,,,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%),,#OC,COV (%)
psim,"1,888,769,032",,"1,831,094,226.35",96.95,,"1,879,371,851.00",99.5,,"1,776,863,218.35",94.08,,"1,835,685,552.65",97.19,,"1,837,039,288.25",97.26,,"1,880,986,540.20",99.59,,"1,855,056,089.65",98.22,,"1,886,708,947.85",99.89
rattler,"2,676,999,306",,"2,583,200,488.60",96.5,,"2,658,829,889.50",99.32,,"2,501,056,201.65",93.43,,"2,607,559,445.30",97.41,,"2,564,294,657.25",95.79,,"2,644,939,990.50",98.8,,"2,618,891,991.95",97.83,,"2,672,938,075.95",99.85
ref4955,"2,069,226,549",,"2,004,388,441.30",96.87,,"2,058,743,399.70",99.49,,"1,940,870,044.60",93.8,,"2,012,158,053.95",97.24,,"2,009,043,229.35",97.09,,"2,059,983,429.00",99.55,,"2,031,494,891.80",98.18,,"2,066,776,185.00",99.88
refidt334,"2,379,424,764",,"2,303,071,449.00",96.79,,"2,366,149,433.85",99.44,,"2,226,673,590.80",93.58,,"2,317,702,675.10",97.41,,"2,276,993,572.85",95.7,,"2,348,379,257.00",98.7,,"2,328,915,115.85",97.88,,"2,376,111,853.55",99.86
sa1100mm,"2,077,907,300",,"2,015,030,447.95",96.97,,"2,067,678,712.40",99.51,,"1,949,765,208.60",93.83,,"2,018,856,326.50",97.16,,"2,018,119,634.20",97.12,,"2,068,450,192.30",99.54,,"2,041,280,347.15",98.24,,"2,075,538,270.95",99.89
sam7ex256,"2,662,326,906",,"2,568,250,048.75",96.47,,"2,641,346,447.95",99.21,,"2,495,791,875.80",93.74,,"2,589,579,111.15",97.27,,"2,574,378,249.35",96.7,,"2,647,085,294.65",99.43,,"2,609,940,315.60",98.03,,"2,658,927,863.60",99.87
se7751,"2,488,137,801",,"2,390,626,215.90",96.08,,"2,461,781,429.90",98.94,,"2,331,525,667.10",93.71,,"2,423,137,478.80",97.39,,"2,391,265,932.45",96.11,,"2,456,403,071.65",98.72,,"2,433,997,934.80",97.82,,"2,484,778,284.90",99.86
sh4_202_md,"2,297,765,722",,"2,223,684,537.45",96.78,,"2,285,392,613.35",99.46,,"2,154,022,390.50",93.74,,"2,235,667,503.55",97.3,,"2,226,924,407.30",96.92,,"2,285,779,326.60",99.48,,"2,248,307,462.75",97.85,,"2,294,639,614.75",99.86
sh7708,"2,240,180,721",,"2,151,777,866.85",96.05,,"2,219,128,968.40",99.06,,"2,097,855,638.65",93.65,,"2,177,495,259.50",97.2,,"2,168,161,965.65",96.79,,"2,229,355,380.90",99.52,,"2,193,286,452.95",97.91,,"2,237,321,061.40",99.87
skmb91302,"2,071,479,912",,"1,994,558,232.35",96.29,,"2,054,247,723.95",99.17,,"1,944,210,182.75",93.86,,"2,015,485,823.65",97.3,,"1,991,696,966.55",96.15,,"2,046,350,314.30",98.79,,"2,032,639,247.55",98.12,,"2,069,015,572.35",99.88
sleb,"1,924,944,955",,"1,866,436,357.80",96.96,,"1,914,805,537.70",99.47,,"1,808,982,668.40",93.98,,"1,872,122,263.70",97.26,,"1,870,713,151.15",97.18,,"1,916,633,164.80",99.57,,"1,890,841,014.05",98.23,,"1,922,823,246.30",99.89
smdk2410,"2,311,181,062",,"2,215,301,034.65",95.85,,"2,274,400,601.55",98.41,,"2,164,415,516.40",93.65,,"2,248,030,213.30",97.27,,"2,212,298,926.80",95.72,,"2,277,039,257.40",98.52,,"2,262,089,770.90",97.88,,"2,307,972,350.00",99.86
snds,"2,074,294,853",,"2,012,695,578.85",97.03,,"2,063,762,114.95",99.49,,"1,945,957,673.00",93.81,,"2,017,174,945.75",97.25,,"2,017,911,226.85",97.28,,"2,064,582,656.80",99.53,,"2,035,740,618.85",98.14,,"2,071,917,182.70",99.89
sparc_erc32,"1,825,893,980",,"1,770,193,940.20",96.95,,"1,816,677,147.40",99.5,,"1,715,507,953.95",93.95,,"1,774,710,684.95",97.2,,"1,776,889,891.05",97.32,,"1,818,625,641.40",99.6,,"1,793,554,374.25",98.23,,"1,823,928,712.05",99.89
sparc_leon,"1,825,893,980",,"1,769,548,634.65",96.91,,"1,816,612,557.55",99.49,,"1,717,591,841.60",94.07,,"1,774,215,788.45",97.17,,"1,776,011,825.90",97.27,,"1,818,476,952.25",99.59,,"1,793,470,405.80",98.22,,"1,823,926,659.05",99.89
sparclite_sim,"1,825,893,980",,"1,770,537,199.15",96.97,,"1,816,732,777.60",99.5,,"1,714,936,302.45",93.92,,"1,774,519,889.65",97.19,,"1,774,789,517.40",97.2,,"1,818,404,883.10",99.59,,"1,793,372,531.25",98.22,,"1,823,919,180.50",99.89
stb,"2,256,761,500",,"2,170,618,962.55",96.18,,"2,231,251,444.75",98.87,,"2,116,538,448.45",93.79,,"2,196,092,464.20",97.31,,"2,171,976,131.15",96.24,,"2,231,074,285.35",98.86,,"2,213,110,585.55",98.07,,"2,253,963,479.50",99.88
stdeval1,"1,935,362,237",,"1,873,734,831.10",96.82,,"1,925,069,068.15",99.47,,"1,815,653,174.60",93.81,,"1,881,873,679.90",97.24,,"1,875,485,941.45",96.91,,"1,926,017,916.70",99.52,,"1,899,036,538.70",98.12,,"1,933,025,670.05",99.88
stm3210e_eval,"2,361,789,158",,"2,288,349,599.25",96.89,,"2,349,677,737.60",99.49,,"2,222,924,397.75",94.12,,"2,299,500,328.00",97.36,,"2,294,581,865.20",97.15,,"2,350,600,800.40",99.53,,"2,319,611,733.90",98.21,,"2,359,072,901.65",99.88
ts1000,"2,554,832,936",,"2,465,109,523.35",96.49,,"2,537,002,698.20",99.3,,"2,394,741,266.95",93.73,,"2,488,587,619.45",97.41,,"2,455,398,959.15",96.11,,"2,527,395,590.50",98.93,,"2,504,030,726.80",98.01,,"2,551,481,105.50",99.87
ts6,"2,232,203,938",,"2,165,962,641.80",97.03,,"2,221,045,233.70",99.5,,"2,092,644,471.00",93.75,,"2,171,872,223.20",97.3,,"2,160,311,552.20",96.78,,"2,220,175,840.00",99.46,,"2,187,434,394.10",97.99,,"2,229,312,348.75",99.87
tx39_sim,"1,866,324,923",,"1,809,542,642.25",96.96,,"1,856,950,311.65",99.5,,"1,758,047,493.80",94.2,,"1,814,665,744.85",97.23,,"1,812,612,608.70",97.12,,"1,858,877,156.70",99.6,,"1,833,650,607.80",98.25,,"1,864,323,750.20",99.89
uClinux,"2,463,084,284",,"2,463,082,197.60",100,,"2,463,084,284.00",100,,"2,463,084,009.60",100,,"2,463,084,284.00",100,,"2,463,084,239.60",100,,"2,463,084,284.00",100,,"2,463,084,197.20",100,,"2,463,084,284.00",100
uE250,"2,233,080,660",,"2,162,739,355.55",96.85,,"2,221,084,156.70",99.46,,"2,097,870,543.90",93.95,,"2,172,586,891.80",97.29,,"2,171,703,769.45",97.25,,"2,223,408,371.45",99.57,,"2,190,798,488.35",98.11,,"2,230,438,977.20",99.88
vads,"2,232,203,938",,"2,166,592,672.55",97.06,,"2,221,330,224.95",99.51,,"2,093,523,218.75",93.79,,"2,171,118,382.35",97.26,,"2,162,870,264.85",96.89,,"2,220,271,821.80",99.47,,"2,187,066,774.35",97.98,,"2,229,235,896.25",99.87
viper,"2,573,378,491",,"2,483,774,753.35",96.52,,"2,556,006,388.05",99.32,,"2,411,331,125.00",93.7,,"2,506,846,825.35",97.41,,"2,463,848,872.00",95.74,,"2,548,204,123.15",99.02,,"2,521,687,532.80",97.99,,"2,569,905,789.20",99.87
vrc4373,"2,221,226,554",,"2,141,211,289.60",96.4,,"2,205,597,498.45",99.3,,"2,080,626,777.75",93.67,,"2,160,110,508.55",97.25,,"2,127,056,418.45",95.76,,"2,195,069,667.50",98.82,,"2,180,868,934.05",98.18,,"2,218,509,381.95",99.88
vrc4375,"2,318,414,527",,"2,233,860,988.90",96.35,,"2,302,132,220.35",99.3,,"2,166,696,866.65",93.46,,"2,255,664,413.90",97.29,,"2,222,302,174.70",95.85,,"2,290,301,674.65",98.79,,"2,272,265,321.70",98.01,,"2,315,281,359.70",99.86
XSEngine,"2,327,972,654",,"2,244,115,152.90",96.4,,"2,312,417,928.95",99.33,,"2,179,502,764.90",93.62,,"2,264,155,303.05",97.26,,"2,241,967,164.05",96.31,,"2,301,932,720.00",98.88,,"2,282,763,620.85",98.06,,"2,325,112,888.95",99.88
AVERAGE,,,"2,176,380,182.66",96.54,,"2,237,211,613.10",99.29,,"2,114,776,073.07",93.79,,"2,194,215,381.31",97.37,,"2,175,765,265.19",96.56,,"2,234,703,895.02",99.23,,"2,206,982,466.32",97.87,,"2,250,716,230.00",99.85
