Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
,,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%),,,#OC,COV (%)
ea2468,"3,445,241",,"3,433,376.40",99.66,,,"3,444,000.25",99.96,,,"3,438,140.40",99.79,,,"3,444,827.15",99.99,,,"3,439,591.90",99.84,,,"3,445,013.55",99.99,,,"3,441,934.45",99.9,,,"3,445,176.25",100,,,"3,442,542.05",99.92,,,"3,445,195.35",100
eb40,"2,845,284",,"2,835,386.20",99.65,,,"2,844,171.45",99.96,,,"2,839,702.20",99.8,,,"2,844,981.70",99.99,,,"2,841,024.00",99.85,,,"2,845,126.25",99.99,,,"2,842,850.25",99.91,,,"2,845,236.15",100,,,"2,843,289.15",99.93,,,"2,845,255.05",100
eb40a,"2,850,007",,"2,840,291.50",99.66,,,"2,848,934.10",99.96,,,"2,844,389.55",99.8,,,"2,849,705.40",99.99,,,"2,845,586.55",99.84,,,"2,849,822.55",99.99,,,"2,847,514.55",99.91,,,"2,849,958.40",100,,,"2,848,028.75",99.93,,,"2,849,974.80",100
eb42,"2,816,657",,"2,807,286.85",99.67,,,"2,815,628.75",99.96,,,"2,811,146.70",99.8,,,"2,816,332.50",99.99,,,"2,812,465.85",99.85,,,"2,816,481.35",99.99,,,"2,814,251.65",99.91,,,"2,816,611.95",100,,,"2,814,713.05",99.93,,,"2,816,627.80",100
eb55,"2,972,652",,"2,962,284.50",99.65,,,"2,971,467.50",99.96,,,"2,966,739.75",99.8,,,"2,972,278.25",99.99,,,"2,968,161.15",99.85,,,"2,972,434.85",99.99,,,"2,970,048.60",99.91,,,"2,972,599.80",100,,,"2,970,457.90",99.93,,,"2,972,617.25",100
ebsa285,"2,928,811",,"2,916,944.10",99.59,,,"2,927,537.05",99.96,,,"2,921,930.30",99.77,,,"2,928,424.65",99.99,,,"2,923,255.35",99.81,,,"2,928,608.75",99.99,,,"2,925,489.95",99.89,,,"2,928,752.50",100,,,"2,926,089.25",99.91,,,"2,928,770.90",100
ec555,"2,991,912",,"2,981,793.60",99.66,,,"2,990,827.25",99.96,,,"2,986,052.55",99.8,,,"2,991,582.45",99.99,,,"2,987,195.45",99.84,,,"2,991,709.00",99.99,,,"2,989,195.80",99.91,,,"2,991,870.50",100,,,"2,989,720.70",99.93,,,"2,991,886.25",100
ecos-icse11,"2,910,229",,"2,899,534.30",99.63,,,"2,909,016.20",99.96,,,"2,903,893.25",99.78,,,"2,909,853.25",99.99,,,"2,905,417.30",99.83,,,"2,910,024.90",99.99,,,"2,907,219.45",99.9,,,"2,910,165.55",100,,,"2,907,839.00",99.92,,,"2,910,185.00",100
edb7xxx,"2,883,125",,"2,872,415.90",99.63,,,"2,882,004.45",99.96,,,"2,876,975.05",99.79,,,"2,882,790.10",99.99,,,"2,878,315.05",99.83,,,"2,882,941.50",99.99,,,"2,880,321.65",99.9,,,"2,883,073.30",100,,,"2,880,777.35",99.92,,,"2,883,095.50",100
edosk2674,"2,664,906",,"2,655,388.55",99.64,,,"2,663,877.90",99.96,,,"2,659,608.50",99.8,,,"2,664,641.20",99.99,,,"2,660,410.05",99.83,,,"2,664,750.50",99.99,,,"2,662,346.85",99.9,,,"2,664,865.40",100,,,"2,662,783.75",99.92,,,"2,664,882.70",100
