Benchmark,#TotalOC,,LS-Sampling-alt1 (k=100),,,LS-Sampling-alt1 (k=1000),,,LS-Sampling-alt2 (k=100),,,LS-Sampling-alt2 (k=1000),,,LS-Sampling-alt3 (k=100),,,LS-Sampling-alt3 (k=1000),,,LS-Sampling (k=100),,,LS-Sampling (k=1000),
sparclite_sim,"2,534,598",,"2,522,209.00",99.51,,"2,533,582.60",99.96,,"2,481,542.40",97.91,,"2,501,973.85",98.71,,"2,518,952.55",99.38,,"2,533,542.10",99.96,,"2,530,955.60",99.86,,"2,534,453.55",99.99
stb,"2,916,752",,"2,891,871.90",99.15,,"2,908,386.85",99.71,,"2,858,800.25",98.01,,"2,881,555.85",98.79,,"2,887,066.00",98.98,,"2,908,151.20",99.71,,"2,911,937.95",99.83,,"2,916,549.45",99.99
stdeval1,"2,634,044",,"2,620,074.15",99.47,,"2,632,852.55",99.95,,"2,578,217.30",97.88,,"2,600,823.85",98.74,,"2,614,812.65",99.27,,"2,632,546.05",99.94,,"2,629,841.20",99.84,,"2,633,894.10",99.99
stm3210e_eval,"3,004,138",,"2,989,585.45",99.52,,"3,002,948.90",99.96,,"2,948,494.60",98.15,,"2,967,651.80",98.79,,"2,987,425.25",99.44,,"3,002,479.15",99.94,,"2,999,794.95",99.86,,"3,003,935.55",99.99
ts1000,"3,167,286",,"3,144,976.95",99.3,,"3,164,432.10",99.91,,"3,105,360.15",98.04,,"3,131,373.75",98.87,,"3,136,643.20",99.03,,"3,158,112.30",99.71,,"3,161,619.00",99.82,,"3,167,051.65",99.99
ts6,"2,896,324",,"2,883,521.55",99.56,,"2,894,973.65",99.95,,"2,838,432.40",98,,"2,861,456.80",98.8,,"2,876,065.80",99.3,,"2,894,406.55",99.93,,"2,891,355.35",99.83,,"2,896,119.65",99.99
tx39_sim,"2,571,192",,"2,558,469.75",99.51,,"2,570,159.95",99.96,,"2,522,354.55",98.1,,"2,538,620.00",98.73,,"2,554,321.25",99.34,,"2,570,182.60",99.96,,"2,567,659.85",99.86,,"2,571,054.00",99.99
uClinux,"3,013,528",,"3,013,528.00",100,,"3,013,528.00",100,,"3,013,528.00",100,,"3,013,528.00",100,,"3,013,528.00",100,,"3,013,528.00",100,,"3,013,528.00",100,,"3,013,528.00",100
uE250,"2,893,698",,"2,878,857.35",99.49,,"2,892,306.00",99.95,,"2,837,583.80",98.06,,"2,858,269.65",98.78,,"2,878,227.20",99.47,,"2,892,280.45",99.95,,"2,889,146.30",99.84,,"2,893,505.90",99.99
vads,"2,896,324",,"2,883,833.05",99.57,,"2,895,107.75",99.96,,"2,840,076.30",98.06,,"2,861,132.35",98.78,,"2,878,701.65",99.39,,"2,894,353.60",99.93,,"2,891,082.15",99.82,,"2,896,094.90",99.99
viper,"3,182,447",,"3,160,640.50",99.31,,"3,179,735.90",99.91,,"3,120,215.25",98.04,,"3,146,598.80",98.87,,"3,146,572.95",98.87,,"3,175,911.60",99.79,,"3,176,843.20",99.82,,"3,182,204.35",99.99
vrc4373,"2,884,611",,"2,861,789.50",99.21,,"2,881,599.70",99.9,,"2,825,177.65",97.94,,"2,849,822.35",98.79,,"2,850,375.75",98.81,,"2,875,244.65",99.68,,"2,880,095.45",99.84,,"2,884,388.50",99.99
vrc4375,"2,968,972",,"2,946,369.25",99.24,,"2,966,034.80",99.9,,"2,905,695.80",97.87,,"2,934,151.50",98.83,,"2,937,610.00",98.94,,"2,959,104.70",99.67,,"2,963,645.60",99.82,,"2,968,723.15",99.99
XSEngine,"2,974,825",,"2,955,370.05",99.35,,"2,972,583.45",99.92,,"2,914,934.65",97.99,,"2,939,238.30",98.8,,"2,949,270.70",99.14,,"2,966,434.00",99.72,,"2,969,901.90",99.83,,"2,974,596.80",99.99
AVERAGE,,,"2,854,767.67",99.18,,"2,871,047.45",99.85,,"2,816,515.87",97.87,,"2,840,958.14",98.82,,"2,849,491.06",99.02,,"2,868,921.61",99.79,,"2,867,994.32",99.64,,"2,874,904.84",99.98
