Benchmark,#TotalOC,,"LS-Sampling (k=100, lambda=10)",,,,"LS-Sampling (k=1000, lambda=10)",,,,"LS-Sampling (k=100, lambda=50)",,,,"LS-Sampling (k=1000, lambda=50)",,,,"LS-Sampling (k=100, lambda=100)",,,,"LS-Sampling (k=1000, lambda=100)",,,,"LS-Sampling (k=100, lambda=500)",,,,"LS-Sampling (k=1000, lambda=500)",,,,"LS-Sampling (k=100, lambda=1000)",,,,"LS-Sampling (k=1000, lambda=1000)",
mcb2100,"2,224,443,992",,"2,170,196,933.60",97.56,,,"2,220,092,259.85",99.8,,,"2,180,807,237.30",98.04,,,"2,221,541,734.60",99.87,,,"2,183,747,445.80",98.17,,,"2,221,908,285.20",99.89,,,"2,189,235,680.30",98.42,,,"2,222,220,899.40",99.9,,,"2,191,083,153.65",98.5,,,"2,222,211,788.75",99.9
moab,"2,427,871,099",,"2,355,581,822.60",97.02,,,"2,421,260,215.70",99.73,,,"2,370,102,810.25",97.62,,,"2,423,502,684.00",99.82,,,"2,374,480,203.55",97.8,,,"2,424,059,959.60",99.84,,,"2,381,862,982.40",98.11,,,"2,424,621,203.20",99.87,,,"2,384,331,493.35",98.21,,,"2,424,589,317.85",99.86
mpc50,"2,033,280,572",,"1,984,941,541.70",97.62,,,"2,029,113,175.70",99.8,,,"1,994,535,924.55",98.09,,,"2,030,774,052.15",99.88,,,"1,997,735,137.50",98.25,,,"2,031,073,284.85",99.89,,,"2,002,160,758.20",98.47,,,"2,031,394,763.15",99.91,,,"2,003,417,153.60",98.53,,,"2,031,403,516.20",99.91
nano,"2,372,371,616",,"2,305,962,140.65",97.2,,,"2,366,793,435.20",99.76,,,"2,318,356,629.35",97.72,,,"2,368,664,008.75",99.84,,,"2,321,198,934.05",97.84,,,"2,369,095,758.15",99.86,,,"2,328,513,255.10",98.15,,,"2,369,535,416.65",99.88,,,"2,330,231,222.30",98.22,,,"2,369,571,131.80",99.88
npwr,"2,312,102,550",,"2,252,073,827.15",97.4,,,"2,306,782,563.85",99.77,,,"2,264,213,859.65",97.93,,,"2,308,715,051.15",99.85,,,"2,268,378,607.85",98.11,,,"2,309,160,839.90",99.87,,,"2,273,665,719.30",98.34,,,"2,309,565,483.30",99.89,,,"2,275,568,969.55",98.42,,,"2,309,616,852.10",99.89
ocelot,"2,338,414,562",,"2,277,091,783.50",97.38,,,"2,333,052,077.25",99.77,,,"2,289,618,436.00",97.91,,,"2,334,921,007.80",99.85,,,"2,293,530,356.30",98.08,,,"2,335,455,040.70",99.87,,,"2,298,623,386.50",98.3,,,"2,335,881,355.40",99.89,,,"2,300,591,987.10",98.38,,,"2,335,900,117.35",99.89
olpce2294,"2,399,140,512",,"2,333,608,523.35",97.27,,,"2,393,605,559.20",99.77,,,"2,346,914,584.85",97.82,,,"2,395,599,550.30",99.85,,,"2,350,296,073.95",97.96,,,"2,396,085,980.30",99.87,,,"2,357,199,353.45",98.25,,,"2,396,424,269.75",99.89,,,"2,359,338,877.20",98.34,,,"2,396,460,927.15",99.89
olpch2294,"2,292,436,998",,"2,235,951,933.35",97.54,,,"2,287,720,323.75",99.79,,,"2,247,556,710.25",98.04,,,"2,289,343,131.05",99.87,,,"2,250,723,705.00",98.18,,,"2,289,825,710.65",99.89,,,"2,256,517,800.00",98.43,,,"2,290,141,042.55",99.9,,,"2,258,043,657.35",98.5,,,"2,290,199,178.65",99.9
olpcl2294,"2,393,625,083",,"2,329,480,752.40",97.32,,,"2,388,344,902.35",99.78,,,"2,341,380,775.60",97.82,,,"2,390,101,325.55",99.85,,,"2,345,283,551.75",97.98,,,"2,390,520,606.60",99.87,,,"2,351,543,785.10",98.24,,,"2,390,893,195.55",99.89,,,"2,353,236,500.35",98.31,,,"2,390,919,253.60",99.89
p2106,"2,224,443,992",,"2,169,453,929.60",97.53,,,"2,219,899,725.65",99.8,,,"2,180,386,921.00",98.02,,,"2,221,510,690.65",99.87,,,"2,184,174,218.00",98.19,,,"2,221,967,018.80",99.89,,,"2,189,488,458.65",98.43,,,"2,222,164,507.00",99.9,,,"2,190,888,692.85",98.49,,,"2,222,182,956.15",99.9
pati,"2,238,542,159",,"2,180,967,379.20",97.43,,,"2,233,634,201.55",99.78,,,"2,192,480,023.70",97.94,,,"2,235,532,849.05",99.87,,,"2,196,671,078.90",98.13,,,"2,235,981,891.60",99.89,,,"2,202,350,940.65",98.38,,,"2,236,236,055.40",99.9,,,"2,203,396,206.40",98.43,,,"2,236,261,267.20",99.9
pc_i82544,"2,328,925,905",,"2,264,935,202.20",97.25,,,"2,323,363,335.90",99.76,,,"2,276,728,368.50",97.76,,,"2,325,365,923.45",99.85,,,"2,281,128,643.50",97.95,,,"2,325,798,151.35",99.87,,,"2,287,869,855.10",98.24,,,"2,326,184,733.30",99.88,,,"2,289,617,463.75",98.31,,,"2,326,195,225.15",99.88
pc_i82559,"2,328,925,905",,"2,263,993,953.15",97.21,,,"2,323,487,456.20",99.77,,,"2,277,311,297.65",97.78,,,"2,325,358,955.80",99.85,,,"2,281,118,000.85",97.95,,,"2,325,716,771.20",99.86,,,"2,287,490,241.15",98.22,,,"2,326,199,308.35",99.88,,,"2,289,362,430.35",98.3,,,"2,326,168,458.45",99.88
pc_rltk8139,"2,351,352,372",,"2,283,762,449.30",97.13,,,"2,345,543,743.85",99.75,,,"2,296,910,538.70",97.68,,,"2,347,599,428.80",99.84,,,"2,300,087,875.00",97.82,,,"2,347,920,453.10",99.85,,,"2,306,703,399.85",98.1,,,"2,348,412,501.35",99.87,,,"2,308,891,716.10",98.19,,,"2,348,400,449.40",99.87
pc_usb_d12,"2,423,516,225",,"2,361,137,370.75",97.43,,,"2,418,099,631.40",99.78,,,"2,373,808,669.55",97.95,,,"2,419,911,387.90",99.85,,,"2,378,018,378.00",98.12,,,"2,420,421,323.80",99.87,,,"2,383,903,121.75",98.37,,,"2,420,876,493.85",99.89,,,"2,386,172,260.25",98.46,,,"2,420,884,774.65",99.89
pc_vmWare,"2,308,780,851",,"2,247,542,698.40",97.35,,,"2,303,498,158.65",99.77,,,"2,258,954,657.50",97.84,,,"2,305,300,615.50",99.85,,,"2,262,594,596.75",98,,,"2,305,707,353.15",99.87,,,"2,268,808,510.20",98.27,,,"2,306,155,089.10",99.89,,,"2,271,044,923.50",98.37,,,"2,306,167,454.40",99.89
phycore,"2,366,208,638",,"2,306,553,096.50",97.48,,,"2,360,976,047.15",99.78,,,"2,318,144,923.00",97.97,,,"2,362,934,179.55",99.86,,,"2,321,830,914.85",98.12,,,"2,363,307,053.45",99.88,,,"2,328,201,762.20",98.39,,,"2,363,724,924.85",99.9,,,"2,329,760,704.90",98.46,,,"2,363,740,233.85",99.9
phycore229x,"2,786,022,872",,"2,713,057,710.50",97.38,,,"2,779,701,943.70",99.77,,,"2,727,620,447.35",97.9,,,"2,781,898,085.90",99.85,,,"2,731,415,594.35",98.04,,,"2,782,419,398.75",99.87,,,"2,738,851,429.10",98.31,,,"2,782,896,330.25",99.89,,,"2,741,698,890.45",98.41,,,"2,783,013,411.10",99.89
picasso,"2,227,486,594",,"2,170,706,014.25",97.45,,,"2,222,548,380.30",99.78,,,"2,182,174,826.65",97.97,,,"2,224,412,209.50",99.86,,,"2,185,027,592.95",98.09,,,"2,224,825,035.45",99.88,,,"2,190,663,358.60",98.35,,,"2,225,195,795.90",99.9,,,"2,192,418,738.20",98.43,,,"2,225,229,175.30",99.9
pid,"2,109,165,647",,"2,056,929,439.15",97.52,,,"2,104,532,741.75",99.78,,,"2,067,138,995.95",98.01,,,"2,106,281,876.60",99.86,,,"2,070,344,384.45",98.16,,,"2,106,671,977.25",99.88,,,"2,075,881,873.60",98.42,,,"2,107,008,231.25",99.9,,,"2,077,503,471.70",98.5,,,"2,106,987,936.15",99.9
prpmc1100,"2,082,469,690",,"2,033,199,570.90",97.63,,,"2,078,220,879.60",99.8,,,"2,042,528,263.75",98.08,,,"2,079,790,377.05",99.87,,,"2,045,288,010.85",98.21,,,"2,080,124,108.85",99.89,,,"2,050,446,908.95",98.46,,,"2,080,485,012.60",99.9,,,"2,051,917,146.80",98.53,,,"2,080,507,717.95",99.91
psim,"1,888,769,032",,"1,843,805,509.55",97.62,,,"1,884,995,654.40",99.8,,,"1,852,397,556.55",98.07,,,"1,886,413,300.95",99.88,,,"1,855,056,089.65",98.22,,,"1,886,708,947.85",99.89,,,"1,859,701,136.30",98.46,,,"1,886,981,169.15",99.91,,,"1,861,015,704.20",98.53,,,"1,887,057,274.25",99.91
rattler,"2,676,999,306",,"2,598,219,725.10",97.06,,,"2,670,109,416.45",99.74,,,"2,614,239,746.50",97.66,,,"2,672,371,604.00",99.83,,,"2,618,891,991.95",97.83,,,"2,672,938,075.95",99.85,,,"2,626,659,804.15",98.12,,,"2,673,483,331.45",99.87,,,"2,629,280,368.75",98.22,,,"2,673,503,487.90",99.87
ref4955,"2,069,226,549",,"2,017,784,075.85",97.51,,,"2,064,843,367.55",99.79,,,"2,028,247,889.80",98.02,,,"2,066,513,107.80",99.87,,,"2,031,494,891.80",98.18,,,"2,066,776,185.00",99.88,,,"2,036,644,641.20",98.43,,,"2,067,075,414.95",99.9,,,"2,037,623,184.10",98.47,,,"2,067,094,466.00",99.9
refidt334,"2,379,424,764",,"2,311,271,054.60",97.14,,,"2,373,521,335.75",99.75,,,"2,325,329,136.00",97.73,,,"2,375,521,408.70",99.84,,,"2,328,915,115.85",97.88,,,"2,376,111,853.55",99.86,,,"2,335,151,842.05",98.14,,,"2,376,570,491.70",99.88,,,"2,337,762,812.35",98.25,,,"2,376,612,231.80",99.88
sa1100mm,"2,077,907,300",,"2,027,094,307.55",97.55,,,"2,073,570,673.80",99.79,,,"2,037,127,530.50",98.04,,,"2,075,187,917.15",99.87,,,"2,041,280,347.15",98.24,,,"2,075,538,270.95",99.89,,,"2,045,708,924.70",98.45,,,"2,075,847,012.95",99.9,,,"2,046,911,548.65",98.51,,,"2,075,857,042.55",99.9
sam7ex256,"2,662,326,906",,"2,592,775,941.30",97.39,,,"2,656,348,721.60",99.78,,,"2,606,282,302.90",97.89,,,"2,658,464,572.15",99.85,,,"2,609,940,315.60",98.03,,,"2,658,927,863.60",99.87,,,"2,617,046,652.10",98.3,,,"2,659,315,926.40",99.89,,,"2,619,496,107.85",98.39,,,"2,659,371,442.45",99.89
se7751,"2,488,137,801",,"2,415,893,290.15",97.1,,,"2,482,257,483.30",99.76,,,"2,430,444,362.80",97.68,,,"2,484,306,709.45",99.85,,,"2,433,997,934.80",97.82,,,"2,484,778,284.90",99.86,,,"2,441,583,106.40",98.13,,,"2,485,102,616.00",99.88,,,"2,443,822,749.70",98.22,,,"2,485,223,393.80",99.88
sh4_202_md,"2,297,765,722",,"2,231,207,176.55",97.1,,,"2,292,414,747.80",99.77,,,"2,244,538,729.40",97.68,,,"2,294,271,809.95",99.85,,,"2,248,307,462.75",97.85,,,"2,294,639,614.75",99.86,,,"2,255,083,544.25",98.14,,,"2,294,970,614.50",99.88,,,"2,257,312,209.05",98.24,,,"2,294,910,109.65",99.88
sh7708,"2,240,180,721",,"2,178,076,794.15",97.23,,,"2,235,357,068.90",99.78,,,"2,189,397,198.70",97.73,,,"2,236,990,040.95",99.86,,,"2,193,286,452.95",97.91,,,"2,237,321,061.40",99.87,,,"2,199,025,433.25",98.16,,,"2,237,632,800.35",99.89,,,"2,201,303,557.40",98.26,,,"2,237,609,662.25",99.89
skmb91302,"2,071,479,912",,"2,018,389,756.50",97.44,,,"2,067,063,906.80",99.79,,,"2,029,940,572.10",97.99,,,"2,068,710,214.85",99.87,,,"2,032,639,247.55",98.12,,,"2,069,015,572.35",99.88,,,"2,038,291,091.00",98.4,,,"2,069,373,229.55",99.9,,,"2,040,222,671.45",98.49,,,"2,069,403,869.85",99.9
sleb,"1,924,944,955",,"1,878,926,438.25",97.61,,,"1,920,933,277.95",99.79,,,"1,887,958,638.70",98.08,,,"1,922,439,013.65",99.87,,,"1,890,841,014.05",98.23,,,"1,922,823,246.30",99.89,,,"1,895,290,959.00",98.46,,,"1,923,079,826.80",99.9,,,"1,896,729,639.90",98.53,,,"1,923,133,864.70",99.91
smdk2410,"2,311,181,062",,"2,245,551,449.90",97.16,,,"2,305,612,728.90",99.76,,,"2,257,962,656.40",97.7,,,"2,307,624,854.05",99.85,,,"2,262,089,770.90",97.88,,,"2,307,972,350.00",99.86,,,"2,268,666,910.05",98.16,,,"2,308,316,872.80",99.88,,,"2,270,569,206.95",98.24,,,"2,308,332,523.95",99.88
snds,"2,074,294,853",,"2,022,336,589.55",97.5,,,"2,069,974,088.95",99.79,,,"2,032,458,359.80",97.98,,,"2,071,638,781.25",99.87,,,"2,035,740,618.85",98.14,,,"2,071,917,182.70",99.89,,,"2,040,951,192.90",98.39,,,"2,072,178,965.10",99.9,,,"2,042,408,629.25",98.46,,,"2,072,228,051.25",99.9
sparc_erc32,"1,825,893,980",,"1,782,260,052.00",97.61,,,"1,822,314,644.80",99.8,,,"1,790,783,877.55",98.08,,,"1,823,649,617.55",99.88,,,"1,793,554,374.25",98.23,,,"1,823,928,712.05",99.89,,,"1,797,864,192.25",98.46,,,"1,824,165,800.00",99.91,,,"1,799,223,950.15",98.54,,,"1,824,241,359.45",99.91
sparc_leon,"1,825,893,980",,"1,782,080,184.50",97.6,,,"1,822,186,584.20",99.8,,,"1,791,315,734.95",98.11,,,"1,823,611,168.70",99.87,,,"1,793,470,405.80",98.22,,,"1,823,926,659.05",99.89,,,"1,798,091,952.20",98.48,,,"1,824,181,403.80",99.91,,,"1,799,455,918.40",98.55,,,"1,824,195,627.40",99.91
sparclite_sim,"1,825,893,980",,"1,782,087,751.00",97.6,,,"1,822,349,078.35",99.81,,,"1,791,475,615.90",98.11,,,"1,823,683,320.60",99.88,,,"1,793,372,531.25",98.22,,,"1,823,919,180.50",99.89,,,"1,798,482,960.95",98.5,,,"1,824,230,653.25",99.91,,,"1,799,260,127.80",98.54,,,"1,824,212,862.45",99.91
stb,"2,256,761,500",,"2,198,235,220.45",97.41,,,"2,251,688,224.60",99.78,,,"2,209,761,516.85",97.92,,,"2,253,518,929.35",99.86,,,"2,213,110,585.55",98.07,,,"2,253,963,479.50",99.88,,,"2,219,023,299.00",98.33,,,"2,254,285,851.05",99.89,,,"2,221,560,933.10",98.44,,,"2,254,331,367.10",99.89
stdeval1,"1,935,362,237",,"1,885,226,986.50",97.41,,,"1,931,155,337.10",99.78,,,"1,895,974,418.65",97.96,,,"1,932,720,122.80",99.86,,,"1,899,036,538.70",98.12,,,"1,933,025,670.05",99.88,,,"1,903,932,054.80",98.38,,,"1,933,247,519.05",99.89,,,"1,904,821,905.85",98.42,,,"1,933,306,668.60",99.89
stm3210e_eval,"2,361,789,158",,"2,305,100,460.10",97.6,,,"2,356,801,061.65",99.79,,,"2,316,296,516.25",98.07,,,"2,358,530,051.05",99.86,,,"2,319,611,733.90",98.21,,,"2,359,072,901.65",99.88,,,"2,324,814,838.80",98.43,,,"2,359,409,438.20",99.9,,,"2,326,842,756.95",98.52,,,"2,359,517,489.70",99.9
ts1000,"2,554,832,936",,"2,487,540,814.90",97.37,,,"2,548,850,562.25",99.77,,,"2,499,597,083.50",97.84,,,"2,550,826,864.55",99.84,,,"2,504,030,726.80",98.01,,,"2,551,481,105.50",99.87,,,"2,511,140,621.50",98.29,,,"2,551,908,392.25",99.89,,,"2,513,188,446.00",98.37,,,"2,551,937,979.40",99.89
ts6,"2,232,203,938",,"2,171,720,844.70",97.29,,,"2,227,078,114.10",99.77,,,"2,183,636,933.75",97.82,,,"2,228,737,010.70",99.84,,,"2,187,434,394.10",97.99,,,"2,229,312,348.75",99.87,,,"2,193,105,990.20",98.25,,,"2,229,648,831.95",99.89,,,"2,195,240,728.10",98.34,,,"2,229,705,993.35",99.89
tx39_sim,"1,866,324,923",,"1,822,141,664.75",97.63,,,"1,862,672,883.45",99.8,,,"1,831,003,030.50",98.11,,,"1,863,982,716.15",99.87,,,"1,833,650,607.80",98.25,,,"1,864,323,750.20",99.89,,,"1,838,021,672.95",98.48,,,"1,864,615,442.45",99.91,,,"1,839,058,604.90",98.54,,,"1,864,619,304.90",99.91
uClinux,"2,463,084,284",,"2,463,084,184.40",100,,,"2,463,084,284.00",100,,,"2,463,084,178.40",100,,,"2,463,084,284.00",100,,,"2,463,084,197.20",100,,,"2,463,084,284.00",100,,,"2,463,084,198.40",100,,,"2,463,084,284.00",100,,,"2,463,084,187.60",100,,,"2,463,084,284.00",100
uE250,"2,233,080,660",,"2,176,433,630.95",97.46,,,"2,228,245,833.20",99.78,,,"2,188,040,390.40",97.98,,,"2,229,869,757.70",99.86,,,"2,190,798,488.35",98.11,,,"2,230,438,977.20",99.88,,,"2,196,188,282.20",98.35,,,"2,230,812,672.40",99.9,,,"2,198,037,582.85",98.43,,,"2,230,780,887.65",99.9
vads,"2,232,203,938",,"2,171,814,634.85",97.29,,,"2,226,989,491.85",99.77,,,"2,183,061,171.75",97.8,,,"2,228,850,459.50",99.85,,,"2,187,066,774.35",97.98,,,"2,229,235,896.25",99.87,,,"2,193,197,882.85",98.25,,,"2,229,689,425.45",99.89,,,"2,194,986,160.30",98.33,,,"2,229,728,413.60",99.89
viper,"2,573,378,491",,"2,502,902,945.10",97.26,,,"2,567,089,149.35",99.76,,,"2,518,132,102.05",97.85,,,"2,569,413,200.25",99.85,,,"2,521,687,532.80",97.99,,,"2,569,905,789.20",99.87,,,"2,529,393,215.10",98.29,,,"2,570,404,239.60",99.88,,,"2,531,359,182.45",98.37,,,"2,570,425,211.95",99.89
vrc4373,"2,221,226,554",,"2,165,737,896.05",97.5,,,"2,216,249,817.65",99.78,,,"2,177,085,750.60",98.01,,,"2,217,996,744.50",99.85,,,"2,180,868,934.05",98.18,,,"2,218,509,381.95",99.88,,,"2,186,397,562.15",98.43,,,"2,218,900,863.10",99.9,,,"2,188,013,998.35",98.5,,,"2,218,957,790.15",99.9
vrc4375,"2,318,414,527",,"2,255,890,862.15",97.3,,,"2,312,857,857.20",99.76,,,"2,268,585,259.90",97.85,,,"2,314,859,518.65",99.85,,,"2,272,265,321.70",98.01,,,"2,315,281,359.70",99.86,,,"2,278,460,740.55",98.28,,,"2,315,758,925.50",99.89,,,"2,280,296,412.80",98.36,,,"2,315,790,538.25",99.89
XSEngine,"2,327,972,654",,"2,268,347,321.35",97.44,,,"2,322,808,264.85",99.78,,,"2,279,642,872.50",97.92,,,"2,324,605,278.60",99.86,,,"2,282,763,620.85",98.06,,,"2,325,112,888.95",99.88,,,"2,289,215,442.50",98.34,,,"2,325,521,391.00",99.89,,,"2,291,092,365.20",98.42,,,"2,325,610,880.90",99.9
AVERAGE,,,"2,192,005,322.07",97.22,,,"2,248,183,513.03",99.74,,,"2,203,577,588.04",97.72,,,"2,250,235,580.17",99.83,,,"2,206,982,466.32",97.87,,,"2,250,716,230.00",99.85,,,"2,212,817,434.21",98.12,,,"2,251,202,156.31",99.87,,,"2,214,633,437.82",98.2,,,"2,251,271,488.54",99.87
